event_id,employee_id,attrition_date,attrition_reason,exit_interview_score,attrition_year
134,2615,2021-07-16,Retirement,5.0,2021
135,2619,2019-08-13,Relocation,5.0,2019
136,2622,2023-08-04,Retirement,3.0,2023
137,2623,2021-11-05,Better offer,1.0,2021
138,2633,2023-09-04,Retirement,4.0,2023
139,2635,2020-02-27,Better offer,2.0,2020
140,2636,2024-04-29,Work-life balance,2.0,2024
141,2641,2020-12-10,Work-life balance,1.0,2020
142,2650,2019-01-11,Retirement,1.0,2019
143,2667,2020-06-24,Work-life balance,3.0,2020
144,2692,2022-12-26,Retirement,3.0,2022
145,2699,2021-07-20,Better offer,2.0,2021
146,2708,2021-02-19,Relocation,4.0,2021
147,2712,2023-09-23,Better offer,1.0,2023
148,2715,2023-12-18,Management issues,1.0,2023
149,2720,2022-09-03,Better offer,1.0,2022
150,2723,2021-05-06,Relocation,4.0,2021
151,2729,2023-07-24,Work-life balance,2.0,2023
152,2736,2023-07-07,Better offer,4.0,2023
153,2744,2019-03-04,Career change,4.0,2019
154,2756,2019-06-02,Management issues,3.0,2019
155,2760,2024-08-24,Work-life balance,3.0,2024
156,2773,2024-07-11,Management issues,1.0,2024
157,2780,2023-03-19,Relocation,2.0,2023
158,2783,2024-07-05,Management issues,3.0,2024
159,2784,2022-06-14,Better offer,3.0,2022
160,2791,2023-03-01,Retirement,5.0,2023
161,2810,2022-10-24,Career change,1.0,2022
162,2816,2019-07-16,Retirement,2.0,2019
163,2817,2023-07-09,Management issues,2.0,2023
164,2819,2023-04-29,Better offer,2.0,2023
165,2833,2022-08-05,Work-life balance,1.0,2022
166,2835,2022-02-06,Work-life balance,2.0,2022
167,2838,2018-08-04,Better offer,4.0,2018
168,2845,2023-05-26,Career change,4.0,2023
169,2848,2023-05-21,Retirement,1.0,2023
170,2856,2024-12-29,Better offer,2.0,2024
171,2864,2024-04-13,Relocation,5.0,2024
172,2871,2021-04-05,Work-life balance,3.0,2021
173,2875,2023-10-27,Work-life balance,5.0,2023
174,2887,2021-02-21,Work-life balance,5.0,2021
175,2898,2021-06-05,Work-life balance,4.0,2021
176,2913,2021-11-20,Work-life balance,3.0,2021
177,2921,2020-02-04,Management issues,3.0,2020
178,2923,2021-09-03,Relocation,5.0,2021
179,2929,2021-09-21,Career change,2.0,2021
180,2930,2020-09-24,Work-life balance,2.0,2020
181,2937,2020-12-20,Work-life balance,5.0,2020
182,2939,2023-06-23,Relocation,3.0,2023
183,2944,2023-06-16,Better offer,5.0,2023
184,2945,2022-07-25,Retirement,3.0,2022
185,2947,2024-11-12,Work-life balance,1.0,2024
186,2951,2023-06-17,Better offer,1.0,2023
187,2953,2020-10-16,Work-life balance,2.0,2020
188,2955,2021-04-10,Retirement,4.0,2021
189,2961,2018-11-04,Relocation,3.0,2018
190,2962,2021-05-18,Better offer,2.0,2021
191,2976,2019-07-21,Work-life balance,2.0,2019
192,2984,2021-05-03,Relocation,4.0,2021
193,2986,2022-06-05,Better offer,2.0,2022
194,2987,2022-06-11,Career change,4.0,2022
195,2992,2022-09-08,Better offer,2.0,2022
196,2995,2024-08-18,Relocation,1.0,2024
197,2996,2024-01-29,Retirement,3.0,2024
198,2998,2018-08-07,Retirement,2.0,2018
199,3011,2023-03-14,Retirement,3.0,2023
200,3012,2024-09-25,Career change,5.0,2024
201,3015,2020-06-07,Career change,2.0,2020
202,3016,2022-08-25,Work-life balance,1.0,2022
203,3024,2021-06-24,Career change,4.0,2021
204,3027,2021-10-05,Retirement,1.0,2021
205,3032,2022-06-26,Management issues,3.0,2022
206,3035,2023-03-18,Career change,3.0,2023
207,3040,2023-05-25,Career change,4.0,2023
208,3046,2024-03-23,Better offer,1.0,2024
209,3054,2022-02-28,Retirement,3.0,2022
210,3061,2020-06-06,Retirement,3.0,2020
211,3063,2022-05-27,Relocation,1.0,2022
212,3079,2021-09-11,Better offer,1.0,2021
213,3080,2020-06-09,Retirement,3.0,2020
214,3082,2018-10-18,Relocation,4.0,2018
215,3084,2020-06-04,Retirement,1.0,2020
216,3090,2022-07-30,Work-life balance,1.0,2022
217,3094,2022-11-30,Career change,3.0,2022
218,3095,2024-02-23,Retirement,1.0,2024
219,3097,2019-05-12,Relocation,1.0,2019
220,3098,2024-03-30,Relocation,5.0,2024
221,3100,2019-11-17,Better offer,4.0,2019
222,3107,2020-01-22,Relocation,3.0,2020
223,3108,2023-07-19,Retirement,5.0,2023
224,3113,2022-10-10,Management issues,3.0,2022
225,3115,2018-10-10,Work-life balance,5.0,2018
226,3116,2023-08-08,Better offer,2.0,2023
227,3122,2024-09-02,Better offer,4.0,2024
228,3128,2024-03-15,Retirement,1.0,2024
229,3134,2022-05-10,Management issues,5.0,2022
230,3137,2023-01-10,Management issues,5.0,2023
231,3143,2021-07-30,Relocation,1.0,2021
232,3144,2021-06-05,Career change,1.0,2021
233,3147,2019-01-05,Work-life balance,3.0,2019
234,3159,2024-05-11,Retirement,3.0,2024
235,3160,2024-05-28,Career change,5.0,2024
236,3164,2024-01-29,Better offer,3.0,2024
237,3171,2021-01-12,Relocation,5.0,2021
238,3175,2020-05-13,Retirement,2.0,2020
239,3191,2024-11-07,Career change,2.0,2024
240,2102,2019-04-25,Retirement,5.0,2019
